Data;Preço médio - recebido pelo agricultor - boi gordo - arroba - PR - R$ - Secretaria da Agricultura e do Abastecimento do Estado do Paraná, Departamento de Economia Rural (Seab-PR) - DERAL12_PRBGO12;
1990.01;0,00015196;
1990.02;0,000257793;
1990.03;0,000433109;
1990.04;0,000387131;
1990.05;0,000450658;
1990.06;0,000597142;
1990.07;0,000670513;
1990.08;0,000754095;
1990.09;0,000996775;
1990.10;0,001006695;
1990.11;0,000953236;
1990.12;0,000950535;
1991.01;0,001200425;
1991.02;0,001542938;
1991.03;0,001603669;
1991.04;0,001739018;
1991.05;0,001807985;
1991.06;0,002015382;
1991.07;0,002657487;
1991.08;0,003374891;
1991.09;0,003804051;
1991.10;0,005491418;
1991.11;0,006546705;
1991.12;0,006601011;
1992.01;0,008557811;
1992.02;0,009877204;
1992.03;0,011062207;
1992.04;0,01472916;
1992.05;0,018740476;
1992.06;0,020682953;
1992.07;0,02418196;
1992.08;0,035094698;
1992.09;0,049581138;
1992.10;0,060350709;
1992.11;0,064592193;
1992.12;0,087403596;
1993.01;0,114385905;
1993.02;0,137212396;
1993.03;0,178562545;
1993.04;0,231109818;
1993.05;0,282892364;
1993.06;0,341574545;
1993.07;0,513160364;
1993.08;0,768276364;
1993.09;1,06064;
1993.10;1,368865455;
1993.11;1,760036364;
1993.12;2,444916364;
1994.01;3,384578182;
1994.02;4,416443636;
1994.03;6,719214545;
1994.04;9,072469091;
1994.05;11,384898182;
1994.06;19,658367273;
1994.07;20,75;
1994.08;23,34;
1994.09;23,78;
1994.10;28,69;
1994.11;30,46;
1994.12;27,82;
1995.01;24,76;
1995.02;24,4;
1995.03;23,23;
1995.04;22,24;
1995.05;21,02;
1995.06;20,55;
1995.07;22,8;
1995.08;23,75;
1995.09;22,7;
1995.10;22,95;
1995.11;23,83;
1995.12;21,09;
1996.01;20,7;
1996.02;21,09;
1996.03;20,73;
1996.04;21,13;
1996.05;20,66;
1996.06;20,81;
1996.07;22,72;
1996.08;23,39;
1996.09;23,2;
1996.10;24,01;
1996.11;22,37;
1996.12;21,96;
1997.01;22,15;
1997.02;22,66;
1997.03;22,89;
1997.04;23,47;
1997.05;22,92;
